gbifID,species,latitude,longitude
4022162993,Hylocomium splendens,64.89491,-148.450937
4022161715,Hylocomium splendens,64.875737,-148.382757
4022161507,Hylocomium splendens,48.827464,-124.203874
4022161128,Polytrichum piliferum,48.506222,-123.566072
4022158472,Hylocomium splendens,51.412315,-116.191348
4022157760,Plagiomnium cuspidatum,39.57488,-84.01732
4022154375,Plagiomnium cuspidatum,39.875558,-86.307762
4022151963,Hylocomium splendens,64.876452,-148.38304
4022151141,Plagiomnium cuspidatum,37.89685,-85.644888
4022150873,Hylocomium splendens,64.883184,-148.397778
4022150801,Hylocomium splendens,64.883344,-148.397135
4022150800,Hylocomium splendens,64.87553,-148.382685
4022150709,Hylocomium splendens,50.112572,-95.572732
4022147507,Hylocomium splendens,64.882968,-148.396722
4022146310,Plagiomnium cuspidatum,40.809197,-74.454903
4022144588,Hylocomium splendens,64.876482,-148.382671
4022144563,Hylocomium splendens,64.895219,-148.451535
4022144470,Hylocomium splendens,48.909512,-87.763089
4022144445,Hylocomium splendens,46.7329,-65.948028
4022134032,Hylocomium splendens,64.883184,-148.397778
4022134031,Hylocomium splendens,64.876026,-148.383174
4022133990,Plagiomnium cuspidatum,35.66484,-83.522396
4022133937,Hylocomium splendens,64.895031,-148.451325
4022129657,Hylocomium splendens,64.882911,-148.3973
4022128541,Hylocomium splendens,64.882968,-148.396722
4022124514,Syntrichia ruralis,32.412338,-110.916205
4022118896,Plagiomnium cuspidatum,45.665511,-122.756872
4022113190,Hylocomium splendens,64.880808,-148.391501
4022112711,Syntrichia ruralis,33.227348,-108.266292
4022112683,Hylocomium splendens,49.331424,-125.46399
4022112393,Syntrichia ruralis,50.425833,-96.606155
4022112349,Plagiomnium cuspidatum,39.885,-86.30957
4022108038,Hylocomium splendens,64.881494,-148.393107
4022107797,Hylocomium splendens,49.098099,-123.934546
4022107775,Hylocomium splendens,50.417347,-96.541683
4022107460,Syntrichia ruralis,34.704144,-106.411138
4022106374,Hylocomium splendens,49.306904,-122.928131
4022101995,Hylocomium splendens,64.880808,-148.391501
4022101990,Hylocomium splendens,64.876029,-148.382426
4022101920,Hylocomium splendens,59.961687,-149.281872
4022101832,Hylocomium splendens,64.883344,-148.397135
4022101603,Hylocomium splendens,43.396522,-80.486458
4022100870,Hylocomium splendens,64.895031,-148.451325
4022100403,Hylocomium splendens,45.551657,-74.42454
4022100183,Hylocomium splendens,64.881371,-148.392298
4022100109,Hylocomium splendens,64.895344,-148.451976
4022099973,Hylocomium splendens,64.883184,-148.397778
4022099971,Hylocomium splendens,64.881679,-148.391489
4022099967,Hylocomium splendens,64.876029,-148.382426
4022099960,Hylocomium splendens,64.875695,-148.382259
4022098691,Syntrichia ruralis,48.426655,-123.374378
4022097783,Hylocomium splendens,64.876029,-148.382426
4022096609,Hylocomium splendens,64.883344,-148.397135
4022096582,Hylocomium splendens,64.876029,-148.382426
4022096509,Hylocomium splendens,46.225558,-62.466053
4022095211,Hylocomium splendens,64.882968,-148.396722
4022095165,Plagiomnium cuspidatum,42.617908,-83.193683
4022095021,Hylocomium splendens,64.88137,-148.392246
4022093475,Hylocomium splendens,61.224809,-149.266436
4022093051,Hylocomium splendens,64.88137,-148.392246
4022093025,Hylocomium splendens,64.895109,-148.450923
4022092925,Hylocomium splendens,64.88335,-148.395643
4022092923,Hylocomium splendens,64.881387,-148.392841
4022092617,Hylocomium splendens,44.425872,-64.615422
4022090493,Hylocomium splendens,64.88335,-148.395643
4022089834,Hylocomium splendens,64.895637,-148.453377
4022089833,Hylocomium splendens,64.876741,-148.382718
4022088850,Hylocomium splendens,64.882911,-148.3973
4022087749,Plagiomnium cuspidatum,42.615442,-83.195486
4022087748,Hylocomium splendens,64.882911,-148.3973
4022087698,Hylocomium splendens,64.883184,-148.397778
4022087249,Hylocomium splendens,64.895109,-148.450923
4022087202,Hylocomium splendens,64.883483,-148.395753
4022087182,Hylocomium splendens,64.895109,-148.450923
4022087044,Hylocomium splendens,64.88136,-148.393553
4022086684,Syntrichia ruralis,35.991519,-111.93635
4022085964,Hylocomium splendens,64.895582,-148.452431
4022085859,Hylocomium splendens,64.883344,-148.397135
4022085857,Hylocomium splendens,64.875737,-148.382757
4022085180,Hylocomium splendens,64.876513,-148.382321
4022085120,Hylocomium splendens,64.876452,-148.38304
4022084986,Hylocomium splendens,64.895902,-148.452381
4022084985,Hylocomium splendens,64.895109,-148.450923
4022084648,Hylocomium splendens,49.039749,-119.554466
4022083645,Hylocomium splendens,45.963047,-64.973316
4022083149,Hylocomium splendens,64.882968,-148.396722
4022082967,Hylocomium splendens,64.880808,-148.391501
4022082667,Hylocomium splendens,44.403107,-65.088531
4022082161,Hylocomium splendens,64.876452,-148.38304
4022082036,Hylocomium splendens,64.876026,-148.383174
4022081841,Plagiomnium cuspidatum,38.258899,-78.835536
4022080769,Hylocomium splendens,49.304631,-123.135519
4022079813,Hylocomium splendens,64.875737,-148.382757
4022079145,Hylocomium splendens,64.876372,-148.382603
4022079085,Hylocomium splendens,64.876452,-148.38304
4022078961,Hylocomium splendens,64.875695,-148.382259
4022078958,Hylocomium splendens,64.895109,-148.450923
4022078060,Hylocomium splendens,64.876026,-148.383174
4022077997,Hylocomium splendens,60.112815,-149.447201
4022077990,Hylocomium splendens,63.723303,-148.96971
4022077896,Hylocomium splendens,64.883344,-148.397135
4022077043,Hylocomium splendens,64.876555,-148.383435
4022075931,Hylocomium splendens,64.883184,-148.397778
4022075919,Hylocomium splendens,64.876029,-148.382426
4022073787,Hylocomium splendens,64.882911,-148.3973
4022072449,Hylocomium splendens,44.714887,-65.436726
4022072048,Hylocomium splendens,64.883344,-148.397135
4022072032,Hylocomium splendens,64.875695,-148.382259
4022071919,Hylocomium splendens,64.895344,-148.451976
4022071422,Plagiomnium cuspidatum,39.875801,-86.308755
4022069948,Hylocomium splendens,64.881387,-148.392841
4022069946,Hylocomium splendens,64.876452,-148.38304
4022069944,Hylocomium splendens,64.876026,-148.383174
4022069939,Hylocomium splendens,64.88137,-148.392246
4022068996,Hylocomium splendens,64.876513,-148.382321
4022068917,Hylocomium splendens,64.895031,-148.451325
4022068558,Syntrichia ruralis,51.473647,-112.76926
4022068499,Syntrichia ruralis,53.865508,-113.321831
4022068220,Hylocomium splendens,64.883259,-148.396964
4022068217,Hylocomium splendens,64.875737,-148.382757
